frame,time_s,angle_deg,tip_x,tip_y,base_x,base_y,base_dir_deg,tip_dir_deg,n_skeleton,mid_x,mid_y,needle_len
263,8.7579,5.094,390.46,269.97,847.00,302.00,-180.000,174.906,512,390.46,269.97,39.11
264,8.7912,5.331,388.50,269.50,847.00,302.00,-180.000,174.669,504,388.50,269.50,39.11
265,8.8245,5.650,390.46,269.87,847.00,302.00,-180.000,174.350,513,390.46,269.87,39.11
266,8.8578,5.310,390.48,269.70,847.00,302.00,-180.000,174.690,513,390.48,269.70,39.11
267,8.8911,5.310,390.48,269.70,847.00,302.00,-180.000,174.690,514,390.48,269.70,39.11
268,8.9244,5.219,390.48,269.67,847.00,302.00,-180.000,174.781,503,390.48,269.67,39.11
269,8.9577,5.219,390.48,269.67,847.00,302.00,-180.000,174.781,503,390.48,269.67,39.11
270,8.9910,5.379,390.49,269.62,847.00,302.00,-180.000,174.621,516,390.49,269.62,39.11
271,9.0243,5.379,390.49,269.62,847.00,302.00,-180.000,174.621,504,390.49,269.62,39.11
272,9.0576,5.304,390.49,269.62,847.00,302.00,-180.000,174.696,504,390.49,269.62,39.11
273,9.0909,5.304,390.49,269.62,847.00,302.00,-180.000,174.696,512,390.49,269.62,39.11
